Exception Archive
Fold  0
56 1047172_02_CM.txt 57 57 57 (138, 156) (138, 170) 138 138
57 1016322_02_CM.txt 58 58 58 (154, 156) (154, 170) 154 154
58 1047262_02_CM.txt 59 59 59 (99, 156) (99, 170) 99 99
59 1011352_02_KH.txt 60 60 60 (93, 156) (93, 170) 93 93
60 1086032_02_CM.txt 61 61 61 (122, 156) (122, 170) 122 122
61 1041702_02_KH.txt 62 62 62 (130, 156) (130, 170) 130 130
62 1026902_02_KH.txt 63 63 63 (155, 156) (155, 170) 155 155
63 1016272_02_CM.txt 64 64 64 (32, 156) (32, 170) 32 32
65 1026392_02_CM.txt 65 65 65 (100, 156) (100, 170) 100 100
66 1057292_02_KH.txt 66 66 66 (172, 156) (172, 170) 172 172
68 1036792_02_CM.txt 67 67 67 (194, 156) (194, 170) 194 194
69 1045962_02_CM.txt 68 68 68 (100, 156) (100, 170) 100 100
70 1008192_02_CM.txt 69 69 69 (132, 156) (132, 170) 132 132
71 1036282_02_CM.txt 70 70 70 (150, 156) (150, 170) 150 150
72 1028622_02_CM.txt 71 71 71 (156, 156) (156, 170) 156 156
73 1006692_02_CM.txt 72 72 72 (153, 156) (153, 170) 153 153
74 1044882_02_KH.txt 73 73 73 (194, 156) (194, 170) 194 194
75 1092432_02_KH.txt 74 74 74 (170, 156) (170, 170) 170 170
76 1078142_02_KH.txt 75 75 75 (96, 156) (96, 170) 96 96
77 1026292_02_KH.txt 76 76 76 (131, 156) (131, 170) 131 131
78 1020132_02_KH.txt 77 77 77 (140, 156) (140, 170) 140 140
79 1067492_02_CM.txt 78 78 78 (143, 156) (143, 170) 143 143
80 1011412_02_CM.txt 79 79 79 (86, 156) (86, 170) 86 86
81 1019802_02_CM.txt 80 80 80 (155, 156) (155, 170) 155 155
82 1036842_02_KH.txt 81 81 81 (133, 156) (133, 170) 133 133
83 1061792_02_KH.txt 82 82 82 (52, 156) (52, 170) 52 52
84 1010542_02_KH.txt 83 83 83 (203, 156) (203, 170) 203 203
85 1036562_02_CM.txt 84 84 84 (103, 156) (103, 170) 103 103
